type,id,tags,tags_highway,tags_lanes,tags_lit,tags_maxspeed,tags_name,tags_oneway,tags_surface,tags_width,tags_foot,tags_parking:lane:both,tags_name:ru,tags_sidewalk,tags_destination,tags_destination:ref,tags_int_ref,tags_source:maxspeed,tags_official_name,tags_ref,tags_snowplowing,tags_surface:grade,tags_side_road,tags_motor_vehicle,tags_bridge,tags_layer,tags_note,tags_name:en,tags_old_name,tags_smoothness,tags_access,tags_addr:postcode,tags_addr:suburb,tags_junction,tags_postal_code,tags_vehicle,tags_living_street,tags_historic,tags_source,tags_lane_markings,tags_incline,tags_maxweight,tags_comment,tags_name:de,tags_name:fi,tags_short_name,tags_placement,tags_turn:lanes,tags_name:it,tags_old_ref,tags_embankment,tags_start_date,tags_psv,tags_destination:symbol,tags_material,tags_wikidata,tags_wikipedia,tags_tunnel,tags_service,tags_maxheight,tags_name:zh,tags_parking:lane:left,tags_parking:lane:right,tags_check_date:surface,tags_hgv,tags_covered,tags_check_date:lit,tags_fixme,tags_bridge:structure,tags_ref:okn,tags_maxaxleload,tags_horse,tags_alt_name,tags_construction,tags_source:name,tags_proposed,tags_description,tags_maxspeed:backward,tags_maxspeed:forward,tags_tracktype,tags_name:be,tags_check_date,tags_motorcar,tags_parking:lane:right:capacity,tags_parking:lane:right:parallel,tags_oneway:bicycle,tags_oneway:psv,tags_noname,tags_old_name:2:ru,tags_old_name:en,tags_old_name:ru,tags_short_name:ru,tags_source:maxheight,tags_bicycle,tags_bus,tags_date_off,tags_date_on,tags_lanes:backward,tags_turn:lanes:backward,tags_toll,tags_motorway,tags_traffic_sign,tags_lanes:forward,tags_turn:backward,tags_waterway,tags_proposed:oneway,tags_turn,tags_footway,tags_admin_level,tags_boundary,WKT
"way","23327056","","secondary","2","yes","RU:urban","Парковая улица",,"asphalt",,,,,,,,,,,,,,,,,,,,,,,"196084","Павловск-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4356164 59.6968146, 30.4357184 59.6967764, 30.4357814 59.696748, 30.4359135 59.69667959999999, 30.4360148 59.6966143, 30.4361046 59.6965487, 30.4361992 59.696481, 30.4363816 59.6963367)"
"way","23327057","","secondary","1","yes","RU:urban","Белозёрская площадь","yes","asphalt",,"no",,"Белозёрская площадь",,,,,,,,,,,,,,,,,"very_good",,,,"roundabout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4209778 59.7022248, 30.4209823 59.7023419, 30.4209497 59.7024545, 30.4208952 59.7025469, 30.4207859 59.7026462, 30.4206816 59.702716, 30.4205827 59.7027676, 30.4204282 59.7028313, 30.420311 59.7028676)"
"way","23327058","","secondary","1","yes","RU:urban","Белозёрская площадь","yes","asphalt",,"no",,"Белозёрская площадь",,,,,,,,,,,,,,,,,"very_good",,,,"roundabout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.419906 59.7027577, 30.4198972 59.7026913, 30.4199036 59.70260909999998, 30.4199423 59.7025152, 30.4200178 59.7024218, 30.4201012 59.7023487, 30.4201944 59.7022892, 30.4203749 59.7022105, 30.420533 59.7021549, 30.4206506 59.7021143)"
"way","23327060","","residential","1","yes","RU:urban","Советский переулок",,"asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,"190005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4110258 59.714648, 30.4112157 59.714585)"
"way","23327064","","residential","1","yes","RU:urban","Советский переулок",,"asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,"190005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4124996 59.714175, 30.4132328 59.7139308, 30.4137648 59.7137617, 30.4139198 59.7137197, 30.4141125 59.7136934, 30.4144049 59.7136764, 30.4160035 59.7135995, 30.4179797 59.7135072, 30.4181373 59.7135043)"
"way","23327065","","residential","2","yes","RU:urban","Пашков мост-плотина",,"asphalt",,,,,,,,,,,,,,,,"yes","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4112157 59.714585, 30.4124996 59.714175)"
"way","23327066","","secondary","2","yes","RU:urban","Павловский мост",,"asphalt",,"no","no_stopping","Павловский мост",,,,,,,,,,,,"yes","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4086916 59.7135535, 30.4093486 59.713337)"
"way","23327068","","residential","1","yes","RU:urban","Союзная улица",,"compacted",,,,,,,,,,,,,,,,,,,,,,,,"Павловск-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4288696 59.6968414, 30.4289746 59.6968305, 30.4290551 59.6968251, 30.4295218 59.6968901, 30.4296894 59.6969049, 30.429782 59.6969056, 30.4298584 59.6968982, 30.4321785 59.6964739, 30.4330569 59.6963162, 30.4336135 59.6961964, 30.4337355 59.69615180000001)"
"way","23327071","","residential","1","yes","RU:urban","Общественная улица",,,,,,,,,,,,,,,,,,,,,,,,,,"Павловск-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.4290352 59.6961897, 30.4295551 59.696096, 30.4317601 59.6957058, 30.4324099 59.695583, 30.4325131 59.69554440000001)"
"way","23327078","","unclassified","1","no","RU:urban","Софийская площадь",,"asphalt",,,,,,,,,,,,,,,,,,,,,"good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (30.3925356 59.703918, 30.3926487 59.7039367, 30.3931218 59.7040121, 30.3939884 59.7041501, 30.3944058 59.7042166, 30.3944639 59.7042258, 30.3946551 59.7042563, 30.3953391 59.7043652, 30.3955854 59.7044045, 30.3963996 59.7045342)"
