type,id,tags,tags_highway,tags_lanes,tags_lit,tags_maxspeed,tags_name,tags_oneway,tags_surface,tags_width,tags_foot,tags_parking:lane:both,tags_name:ru,tags_sidewalk,tags_destination,tags_destination:ref,tags_int_ref,tags_source:maxspeed,tags_official_name,tags_ref,tags_snowplowing,tags_surface:grade,tags_side_road,tags_motor_vehicle,tags_bridge,tags_layer,tags_note,tags_name:en,tags_old_name,tags_smoothness,tags_access,tags_addr:postcode,tags_addr:suburb,tags_junction,tags_postal_code,tags_vehicle,tags_living_street,tags_historic,tags_source,tags_lane_markings,tags_incline,tags_maxweight,tags_comment,tags_name:de,tags_name:fi,tags_short_name,tags_placement,tags_turn:lanes,tags_name:it,tags_old_ref,tags_embankment,tags_start_date,tags_psv,tags_destination:symbol,tags_material,tags_wikidata,tags_wikipedia,tags_tunnel,tags_service,tags_maxheight,tags_name:zh,tags_parking:lane:left,tags_parking:lane:right,tags_check_date:surface,tags_hgv,tags_covered,tags_check_date:lit,tags_fixme,tags_bridge:structure,tags_ref:okn,tags_maxaxleload,tags_horse,tags_alt_name,tags_construction,tags_source:name,tags_proposed,tags_description,tags_maxspeed:backward,tags_maxspeed:forward,tags_tracktype,tags_name:be,tags_check_date,tags_motorcar,tags_parking:lane:right:capacity,tags_parking:lane:right:parallel,tags_oneway:bicycle,tags_oneway:psv,tags_noname,tags_old_name:2:ru,tags_old_name:en,tags_old_name:ru,tags_short_name:ru,tags_source:maxheight,tags_bicycle,tags_bus,tags_date_off,tags_date_on,tags_lanes:backward,tags_turn:lanes:backward,tags_toll,tags_motorway,tags_traffic_sign,tags_lanes:forward,tags_turn:backward,tags_waterway,tags_proposed:oneway,tags_turn,tags_footway,tags_admin_level,tags_boundary,WKT
"way","23327056","","secondary","2","yes","RU:urban","Парковая улица",,"asphalt",,,,,,,,,,,,,,,,,,,,,,,"196084","Павловск-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3388077.319627406 8332544.145160287, 3388088.674215467 8332535.717479836, 3388095.6873433874 8332529.451880708, 3388110.392648121 8332514.361515883, 3388121.669312538 8332499.955099865, 3388131.6658028117 8332485.482526455, 3388142.1966266404 8332470.546683931, 3388162.501301761 8332438.7115989365)"
"way","23327057","","secondary","1","yes","RU:urban","Белозёрская площадь","yes","asphalt",,"no",,"Белозёрская площадь",,,,,,,,,,,,,,,,,"very_good",,,,"roundabout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3386447.75812948 8333737.840099133, 3386448.259067188 8333763.678925055, 3386444.6300517884 8333788.524883896, 3386438.56313954 8333808.913637234, 3386426.395919196 8333830.824990082, 3386414.7852963074 8333846.226966835, 3386403.775798667 8333857.612976024, 3386386.5769373397 8333871.668984441, 3386373.5302930186 8333879.678935268)"
"way","23327058","","secondary","1","yes","RU:urban","Белозёрская площадь","yes","asphalt",,"no",,"Белозёрская площадь",,,,,,,,,,,,,,,,,"very_good",,,,"roundabout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3386328.4458992477 8333855.428449643, 3386327.4662877284 8333840.776693452, 3386328.1787324697 8333822.638565651, 3386332.486796763 8333801.918788027, 3386340.8914183183 8333781.309397008, 3386350.1754638506 8333765.179389117, 3386360.550440392 8333752.050338925, 3386380.64360848 8333734.684723509, 3386398.2432199745 8333722.416282841, 3386411.3343920917 8333713.45768616)"
"way","23327060","","residential","1","yes","RU:urban","Советский переулок",,"asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,"190005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3385339.906557105 8336479.598573961, 3385361.046128407 8336465.692118067)"
"way","23327064","","residential","1","yes","RU:urban","Советский переулок",,"asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,"190005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3385503.969222636 8336375.1904257005, 3385585.5886732857 8336321.287261709, 3385644.8106423873 8336283.961427391, 3385662.0651634606 8336274.6906994395, 3385683.5164293367 8336268.885463815, 3385716.0662484444 8336265.133032569, 3385894.021586427 8336248.158823274, 3386114.011164132 8336227.785409014, 3386131.555115882 8336227.145291815)"
"way","23327065","","residential","2","yes","RU:urban","Пашков мост-плотина",,"asphalt",,,,,,,,,,,,,,,,"yes","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3385361.046128407 8336465.692118067, 3385503.969222636 8336375.1904257005)"
"way","23327066","","secondary","2","yes","RU:urban","Павловский мост",,"asphalt",,"no","no_stopping","Павловский мост",,,,,,,,,,,,"yes","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3385080.064601695 8336238.005218679, 3385153.201507147 8336190.217245339)"
"way","23327068","","residential","1","yes","RU:urban","Союзная улица",,"compacted",,,,,,,,,,,,,,,,,,,,,,,,"Павловск-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3387326.2692869217 8332550.057779535, 3387337.957833455 8332547.653019642, 3387346.919052464 8332546.461670997, 3387398.8718588175 8332560.80199155, 3387417.529005474 8332564.067176121, 3387427.8371903216 8332564.221610561, 3387436.341999418 8332562.589018059, 3387694.6143500074 8332468.980297467, 3387792.3973907204 8332434.188954192, 3387854.3578192964 8332407.759114916, 3387867.938797173 8332397.919649659)"
"way","23327071","","residential","1","yes","RU:urban","Общественная улица",,,,,,,,,,,,,,,,,,,,,,,,,,"Павловск-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3387344.703794597 8332406.280988131, 3387402.578797861 8332385.609305745, 3387648.0382750602 8332299.525717831, 3387720.373680177 8332272.434524538, 3387731.8618516275 8332263.918909382)"
"way","23327078","","unclassified","1","no","RU:urban","Софийская площадь",,"asphalt",,,,,,,,,,,,,,,,,,,,,"good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING (3383281.5869084387 8334111.463753687, 3383294.1771428473 8334115.590224858, 3383346.842393942 8334132.228533065, 3383443.311864664 8334162.680706159, 3383489.7766201207 8334177.355167729, 3383496.2442825357 8334179.385321096, 3383517.5285691754 8334186.115724846, 3383593.671100878 8334210.146626297, 3383621.0890914607 8334218.8189542815, 3383711.7254208648 8334247.439915578)"
